Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_Y_ED50,Coordenada_UTM_X_ED50,Longitud_WGS84,Latitud_WGS84
2025S004001,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,011200,Almogàvers,,Dissabte,2025,7,Juliol,5,13,Matí,,,1,,1,2,432028.104,4583016.960,2.18580484,41.39396863
2025S004002,3,Sants-Montjuïc,12,la Marina del Prat Vermell,370305,Número 4 Zona Franca,,Dimarts,2025,7,Juliol,8,7,Matí,,,2,,2,1,427033.564,4576155.264,2.12689313,41.33172996
2025S004003,4,Les Corts,19,les Corts,110803,Entença,,Dissabte,2025,7,Juliol,5,13,Matí,Desobeir el senyal del semàfor,,1,,1,1,427954.947,4582701.104,2.13712502,41.39076907
2025S004004,6,Gràcia,29,el Coll,230000,Mare de Déu del Coll,8,Dimarts,2025,7,Juliol,8,11,Matí,,,,,,1,428622.401,4585276.105,2.14480397,41.41402066
2025S004005,2,Eixample,8,l'Antiga Esquerra de l'Eixample,023403,Aribau,1,Dissabte,2025,7,Juliol,5,14,Tarda,,,,,,3,430082.512,4582123.690,2.16263745,41.38575635
2025S004006,2,Eixample,7,la Dreta de l'Eixample,148307,Gràcia,6,Dimarts,2025,7,Juliol,8,12,Matí,Transitar a peu per la calçada,,1,,1,1,430657.174,4582466.831,2.16947061,41.38889669
2025S004007,4,Les Corts,20,la Maternitat i Sant Ramon,066508,Carles III,97,Dilluns,2025,7,Juliol,7,17,Tarda,,,1,,1,1,427085.341,4582245.957,2.12677939,41.38659134
2025S004008,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,,Dimarts,2025,7,Juliol,8,13,Matí,,,1,,1,2,432141.028,4585382.640,2.18689012,41.41528517
2025S004009,10,Sant Martí,73,la Verneda i la Pau,153205,Guipúscoa,172,Dimarts,2025,7,Juliol,8,14,Tarda,,,1,,1,2,433917.866,4586366.498,2.20804182,41.42429468
2025S004010,2,Eixample,9,la Nova Esquerra de l'Eixample,054509,Calàbria,99,Dilluns,2025,7,Juliol,7,11,Matí,Desobeir el senyal del semàfor,,2,,2,1,429415.586,4581466.027,2.15473825,41.37977473
2025S004011,3,Sants-Montjuïc,14,la Font de la Guatlla,212406,Mineria,62-64,Dimarts,2025,7,Juliol,8,15,Tarda,,,1,,1,2,428197.183,4580093.100,2.14033132,41.36730139
2025S004012,2,Eixample,10,Sant Antoni,363809,Villarroel,,Dimarts,2025,7,Juliol,8,16,Tarda,,,,,,2,429834.070,4581818.313,2.15970168,41.38298427
2025S004013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),K135,Dimarts,2025,7,Juliol,8,15,Tarda,,,1,,1,2,429959.626,4578877.120,2.16154309,41.35650476
2025S004014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,070607,Casanova,,Dimarts,2025,7,Juliol,8,15,Tarda,,,1,,1,2,429827.117,4582016.525,2.15959557,41.38476890
2025S004015,8,Nou Barris,50,les Roquetes,701501,B-20 (Llobregat),E2,Dilluns,2025,7,Juliol,7,6,Matí,,,,,,2,431275.630,4588731.920,2.17615498,41.44537737
2025S004016,10,Sant Martí,71,Provençals del Poblenou,253902,Perú,,Dimarts,2025,7,Juliol,8,17,Tarda,,,1,,1,2,432901.433,4584611.258,2.19607368,41.40840144
2025S004017,6,Gràcia,28,Vallcarca i els Penitents,701502,B-20 (Besòs),K100,Dimarts,2025,7,Juliol,8,20,Tarda,,,1,,1,2,428198.703,4585892.995,2.13966148,41.41953897
2025S004018,10,Sant Martí,71,Provençals del Poblenou,253902,Perú,293-297,Dimarts,2025,7,Juliol,8,10,Matí,,,1,,1,2,433728.501,4585448.178,2.20587651,41.41600801
